Terror_Group,Region,Successful_Attacks,Total_Incidents
Barisan Revolusi Nasional (BRN)_Southeast Asia,Southeast Asia,80,84
Barq al-Nasser Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Barqa Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,142,154
Base Movement_South Asia,South Asia,5,5
Basque extremists_Western Europe,Western Europe,4,7
Basque Fatherland and Freedom (ETA)_Western Europe,Western Europe,209,236
Basque Separatists_Western Europe,Western Europe,2,2
Bedouin Israeli extremists_Middle East & North Africa,Middle East & North Africa,1,1
Bedouin Movement (Sudan)_Sub-Saharan Africa,Sub-Saharan Africa,1,2
Bedouin tribesmen_Middle East & North Africa,Middle East & North Africa,10,10
Beja Congress_Sub-Saharan Africa,Sub-Saharan Africa,2,3
Bengali Sangram Mukti Bahini_South Asia,South Asia,0,1
Benghazi Defense Brigades (BDB)_Middle East & North Africa,Middle East & North Africa,8,8
Benishangul Gumuz People's Liberation Movement_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Berom Militants_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Bersatu_Southeast Asia,Southeast Asia,1,1
Bharatiya Janata Party_South Asia,South Asia,2,2
Bhisan Himali Bag_South Asia,South Asia,1,1
Bhittani tribe_South Asia,South Asia,1,1
Bhumi Uchched Pratirodh Committee (BUPC)_South Asia,South Asia,1,1
Biafra Zionist Movement (BZM)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Bilal Badr Group_Middle East & North Africa,Middle East & North Africa,2,2
Bini-Oru_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Birsa Commando Force (BCF)_South Asia,South Asia,1,1
Biswabhumi Sena Bishal Nepal_South Asia,South Asia,1,1
Black and Red Anarchist and Anti-Authoritarians Initiative (Greece)_Western Europe,Western Europe,1,1
Black Eagles_South America,South America,2,2
Black Hawks (Anti-Wahhabists)_Eastern Europe,Eastern Europe,1,1
Black Hebrew Israelites_North America,North America,1,3
Black Star_Western Europe,Western Europe,7,7
Black Widows_South Asia,South Asia,12,12
Bodo Liberation Tigers (BLT)_South Asia,South Asia,3,3
Bodo People's Front (BPF)_South Asia,South Asia,1,1
Bodu Bala Sena_South Asia,South Asia,7,7
Boko Haram_Sub-Saharan Africa,Sub-Saharan Africa,2247,2418
Borana bandits_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Borderless Solidarity Cell (BSC)_Western Europe,Western Europe,1,1
Breton Liberation Front (FLB)_Western Europe,Western Europe,4,4
Brigade of al-Mukhtar al-Thaqafi_Middle East & North Africa,Middle East & North Africa,1,1
Brigades of Iman Hassan-al-Basri_Middle East & North Africa,Middle East & North Africa,1,1
Brigades of Imprisoned Sheikh Omar Abdel-Rahman_Middle East & North Africa,Middle East & North Africa,3,3
Bru Democratic Front of Mizoram (BDFM)_South Asia,South Asia,1,1
Bru National Liberation Front (BNLF)_South Asia,South Asia,2,2
Buddhist Monks_South Asia,South Asia,9,9
Bunda Dia Kongo (BDK)_Sub-Saharan Africa,Sub-Saharan Africa,4,4
Cambodian Freedom Fighters (CFF)_Southeast Asia,Southeast Asia,5,5
Caspian Group_Eastern Europe,Eastern Europe,1,1
Catholic Reaction Force_Western Europe,Western Europe,1,2
Caucasus Emirate_Eastern Europe,Eastern Europe,41,44
Caucasus Province of the Islamic State_Eastern Europe,Eastern Europe,15,17
CCCCC_Western Europe,Western Europe,1,5
Cells of Direct Attack - Living Waste Group_Western Europe,Western Europe,1,1
Chakma tribal group_South Asia,South Asia,1,1
Chama Pueblo en Rebelion_South America,South America,1,1
Chechen Rebels_Middle East & North Africa,Middle East & North Africa,3,3
Chechen Rebels_Eastern Europe,Eastern Europe,256,296
Chin National Army_Southeast Asia,Southeast Asia,1,1
Christian extremists_South Asia,South Asia,1,1
Christian extremists_Southeast Asia,Southeast Asia,3,3
Christian State-Holy Rus_Eastern Europe,Eastern Europe,1,1
Citizens for Constitutional Freedom_North America,North America,1,1
Citizen's Rights Protection Volunteers_South Asia,South Asia,2,2
Civic United Front (CUF)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
"Civil Association for Peace in Colombia, Asocipaz_South America",South America,1,1
Civil Defense Force (CDF)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Civil Protection Units (YPS)_Middle East & North Africa,Middle East & North Africa,2,2
Civil War Veterans_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Civilian Defense_Eastern Europe,Eastern Europe,1,1
Civilian Joint Task Force (JTF)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Coalition for Unity and Democracy (CUD)_Sub-Saharan Africa,Sub-Saharan Africa,2,4
Coalition to Save the Preserves (CSP)_North America,North America,8,8
Colonel Albert Kahasha Militia_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Colonel Karuna Faction_South Asia,South Asia,9,9
Comando Autónomo Voltaire Argandoña_South America,South America,1,1
Comando Malvinas Argentinas_South America,South America,1,1
Combat 18_Australasia & Oceania,Australasia & Oceania,1,1
Comite d'Action Viticole_Western Europe,Western Europe,6,6
Communist Party of India - Maoist (CPI-Maoist)_South Asia,South Asia,1774,1878
Communist Party of India- Marxist_South Asia,South Asia,8,8
Communist Party of India- Marxist-Leninist_South Asia,South Asia,7,7
Communist Party of Nepal - Maoist (CPN-Maoist-Chand)_South Asia,South Asia,62,91
Communist Party of Nepal (People's War Group)_South Asia,South Asia,0,8
Communist Party of Nepal- Maoist (CPN-M)_South Asia,South Asia,22,22
Communist Party of Nepal- Unified Marxist-Leninist (CPN-UML)_South Asia,South Asia,1,1
Communist Party of Nepal-Maoist (Baidya)_South Asia,South Asia,19,34
